nombre,tipo,ciudad,barrio,link,Precio,Área,Baños,Habitaciones,Entrega,Parqueaderos,Estudio,cuarto_util
Anacaona,Apartamentos,Itagüí,El Rosario,https://www.informeinmobiliario.com/apartamentos-venta-itagui-el-rosario/proyecto/1069,$ 212.000.000,55.0,2,2,No info,No info,1,No info
Solé,Apartamentos,Marinilla,La Dalia,https://www.informeinmobiliario.com/apartamentos-venta-marinilla-la-dalia/proyecto/1433,$ 208.435.000,50.0,2,3,No info,No info,No info,No info
Iroko,Apartamentos,Rionegro,V. Fontibon,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-fontibon/proyecto/1430,$ 208.000.000,50.0,2,2,No info,No info,1,No info
Tayrona,Apartamentos,Bello,Machado,https://www.informeinmobiliario.com/apartamentos-venta-bello-machado/proyecto/1336,$ 208.600.000,54.0,2,3,No info,No info,1,No info
Jaggua,Apartamentos,Caldas,V. Primavera,https://www.informeinmobiliario.com/apartamentos-venta-caldas-v-primavera/proyecto/1137,$ 204.800.000,49.0,2,3,No info,No info,No info,No info
Sendero Silvestre,Apartamentos,Bello,Navarra,https://www.informeinmobiliario.com/apartamentos-venta-bello-navarra/proyecto/976,$ 203.652.000,55.0,2,3,No info,No info,No info,No info
Montiara,Apartamentos,Bello,Búcaros,https://www.informeinmobiliario.com/apartamentos-venta-bello-bucaros/proyecto/1230,$ 203.652.000,51.0,2,2,No info,No info,1,No info
Ribero,Apartamentos,Copacabana,,https://www.informeinmobiliario.com/apartamentos-venta-copacabana/proyecto/1385,$ 223.119.000,52.0,2,2,No info,No info,1,No info
Sendero Silvestre 2,Apartamentos,Bello,Navarra,https://www.informeinmobiliario.com/apartamentos-venta-bello-navarra/proyecto/1128,$ 217.740.000,54.0,2,3,No info,No info,No info,No info
Puerto Capri,Apartamentos,Bello,Santa Ana,https://www.informeinmobiliario.com/apartamentos-venta-bello-santa-ana/proyecto/1492,$ 221.000.000,53.0,2,3,No info,No info,No info,No info
